,statement,target,image-path
426,"""99.4% of businesses in Wisconsin are small businesses,"" and they employ ""nearly half of our workforce.""",1,Pg 10__6_709f060b901f9f2d598412966fabda70.jpg
427,"Unlike marijuana, medical cannabis oil cannot get you high.",1,Pg 32__12_af1c5646a8f58e0ceff54323c3bdf116.jpg
428,"After Joe Biden became vice president, at the behest of his father, he gave his uncle, Frank H. Biden, a Purple Heart for serving in the U.S. military during World War II.",0,Pg 6__9_65f36c2f1e8156a05be68acaaacccece.jpg
429,"""Trump looking to open up E Coast & new areas for offshore oil drilling when Congress has passed no new safety standards since BP""",1,Pg 17__8_9405f732bae0197ac33c8b422b9e4e01.jpg
430,Video shows a faulty New York voting machine invalidated a GOP vote in governor¡¯s race.,0,Pg 9__11_39552bde004f0394ddea4177f59de3b8.jpeg
431,"¡°Were you aware the $3.5 Trillion Human Infrastructure package includes an animal agriculture tax of $2,600?? per head of cattle? $500 for swine!!!""",0,Pg 44__20_469a30591d931b1ac5c3b4155414a04f.jpeg
432,"Kennedy Center, PBS donated to Democrats after getting COVID-19 stimulus money.",0,Pg 90__1_cc7891e322fecf8ea24a33673273a77e.jpg
433,No openly gay man has ever been elected to the Georgia Legislature.,1,Pg 27__5_202f3038d3e1dbafda364499f96f4580.jpg
434,"HR 1 will allow members of Congress to draw a second salary ¡°worth an estimated $600,000 per year!¡±",0,Pg 61__26_297680bbec487e17fa6b032121c9361e.jpg
435,¡°We see an uncompleted wall that was duly appropriated dollars during the Trump days to build over 700 miles. Only 150 miles were constructed.¡±,0,Pg 52__25_357c943716a1a455e10af7e506cec9c4.jpg
436,"For vaccine rates among Americans 65 and older, ¡°there¡¯s virtually no difference between white, Black, Hispanic, Asian American.¡±",0,Pg 56__5_5714ec6cf6c0de76c69ac5f675792f98.jpg
437,"""When you tally up their representation in Congress and governorships, the Democrats almost have their lowest representation in about 100 years.""",1,Pg 13__20_cb73d98ea82dd742a895931b6f199f5d.jpg
438,¡°The gunman at Greenwood Park Mall was a CIA asset.¡±,0,Pg 19__15_d3ca76b512fa8a2eae018c2803ced683.jpg
439,"""The marijuana that kids are smoking today is not the same as the marijuana that Jeb Bush smoked 40 years ago.""",1,Pg 27__10_aaee33329d6de6d866a5735679874f68.jpg
440,"""Anyone can die of a toothache.""",1,Pg 25__18_144b3540eb693424c0487c3b8e0753b5.JPG
441,¡°The average (Wisconsin) resident¡¯s tax burden is at its lowest level in nearly 50 years while incomes continue to grow.¡±,1,Pg 7__14_391667f7fd0097f0340bf68a7905cb73.JPG
442,"Says N.Y. Gov. Andrew Cuomo ¡°rejected buying recommended 16,000 ventilators in 2015 for the pandemic, for a pandemic, established death panels and lotteries instead. So, he had a chance to buy, in 2015, 16,000 ventilators at a very low price, and he turned it down.¡±",0,Pg 92__9_2419236b2a3bdb503844715a2f5fe632.jpg
443,"""With the exception of baby formula, the federal government does not require any food to carry an expiration date, and state laws vary widely.""",1,Pg 28__4_9a8dfb405a07713f79dd9f6ac2934c98.jpg
444,The Biden administration is deporting Cubans ¡°because Cubans by and large are conservatives.¡±,0,Pg 8__8_ead2019a926c5edbf3edf7a1f9b6f2ee.jpg
445,The United States is "the oldest democracy" in the world.,1,Pg 22__15_750454adcfa3da021c37ac12eab5a0cf.JPG
446,"¡°The Vaccine Adverse Event Recording System shows that 5,946 people have died because of the¡± COVID-19 vaccine.",0,Pg 48__10_f8604ab8f719290a1d319d2e99d8b4d2.jpg
447,"Summer ¡°protesters outside the White House were met with tear gas, rubber bullets, a full militarized response. While ... rioters were able to breach the Capitol.¡±",1,Pg 4__23_8c8d336a402f91df6de30ff6eeffaad7.jpg
448,Says Tim Michels "opposes closing the loophole that allows domestic abusers to buy guns.",1,Pg 1__16_ad8b51d6046e3d6b53139a579f604bff.jpg
449,"At the World Economic Forum, Moderna CEO St¨¦phane Bancel admitted that his company produced 100,000 doses of COVID-19 vaccines in 2019, before the pandemic started.",0,Pg 2__27_0d6974004e34ad9a74aaef42793ba2de.jpg
450,Buffalo Bills player Damar Hamlin¡¯s collapse was caused by the COVID-19 vaccine.,0,Pg 6__8_5f4e13153cd81e9672ba647ed002e893.jpg
451,"Matt Dolan sponsored Michael Bloomberg's ¡°red-flag gun confiscation law, letting the people reporting your social media posts send SWAT teams to your house to take your guns.""",0,Pg 26__12_0eb5944cc85122ef70d8816b59f068aa.jpg
452,"""The enumeration clause speaks to the count of every individual, and not just Americans, not just citizens.""",1,Pg 10__10_02fcca3bd66ddc507f122c1ca8be27fd.jpg
453,U.S. Rep. Matt ¡°Cartwright proposes to defund the Wilkes-Barre police.¡±,0,Pg 83__5_6b55784a4b9a0a1410bfa0a0e085f797.jpg
454,"""Not a single Democrat opposed Neil Gorsuch's confirmation in 2006.""",1,Pg 18__10_c6b37b3ddb486444efa221755f1623e2.jpg
455,"""Hillary Clinton spied on President Trump.""",0,Pg 32__23_52952ce04e5b83d31519be1e33ccadb3.jpg
456,"A video taken from a car driving through Bucha, Ukraine, shows a corpse ¡°moving his arm,¡± and then ¡°in the rear view mirror the ¡®corpse¡¯ sits down.¡±",0,Pg 29__13_7503d1015c6a47b148518958c0734d09.jpg
457,"""Ohio's (payday lending) laws are now the worst in the nation. Things have gotten so bad that it is legal to charge 594 percent interest on loans.""",1,Pg 13__22_704e7bb8203b9f0c238cdb553f1db7bc.jpg
458,Sen. Kamala Harris ¡°may have broken laws¡± when she visited a voting site in Ohio,0,Pg 71__5_254310a2f48f4d44a2e5f0e77a0b7f16.jpg
459,"""Pope Benedict XVI and the Vatican requested that President Biden not attend Benedict¡¯s funeral.""",0,Pg 6__6_744d7ea7a3c54bef68c90a93b631dde0.jpg
460,"¡°Republican elected officials, a network of propaganda publications in the state and some radio shock jocks¡± were spreading ¡°a lie¡± about his daughter breaking COVID-19 restrictions.",1,Pg 5__2_92bfc41de398b2bb69577a74ce7bb292.jpg
461,"""There are more words in the IRS code than there are in the Bible.""",1,Pg 26__16_78c6d94735f10581286954fa8d492563.jpg
462,"¡°Over the course of two months, Tony Evers refused to remove (Curtis Schmitt Jr.) from the (state¡¯s veterans) Board despite having the authority to do (so).¡±",0,Pg 28__25_97b3ee961de757f0b4731fbd27893c1c.jpg
463,"""The three wealthiest people"" own ""more wealth than the bottom half of the American people.""",1,Pg 13__14_4d6ba0c00dafc8a8a5e60b8d7ac1cfea.jpg
464,¡°Jeffrey Epstein¡¯s lawyer became a federal judge¡± and ¡°was the person to sign off on the Mar-a-Lago search warrant.¡±,0,Pg 14__9_28a06307b6ae15e95b45c01a0964210c.jpeg
465,Electric vehicles are more likely to fail in traffic jams.,0,Pg 39__21_3e0e1accbda643267dcd70c7b8fcf33a.jpg
466,"¡°So now if you don¡¯t comply¡± and get a COVID-19 vaccination, and you¡¯re on ¡°Social Security or disability, you won¡¯t be able to receive your money.¡±",0,Pg 43__29_453f8b35b0cade85cdd07df85e46b892.jpg
467,Image shows that the New Mexico secretary of state counted more than 17 million registered voters in a state with a population of about 2 million.,0,Pg 9__16_b3fade57ac7af6c6f4d08537bfa5d4d1.jpg
468,Says Kamala Harris wants to eliminate beef.,0,Pg 79__26_f277000397b3d663c907b882fe1268f1.jpg
469,Image shows Ukrainian President Volodymyr Zelensky ¡°has joined the front lines with his troops.¡±,0,Pg 32__8_38f150d099ad14c0d6c7df44c698204f.jpeg
470,"""New York has the third lowest rate of gun-caused death in America.""",1,Pg 14__28_17bf85007cdd1cd28e09302f1d24439f.jpg
471,"""Trump Won Two-Thirds of Election Lawsuits Where Merits Considered""",0,Pg 63__4_773a706a4c016983004bdeed418f69d4.jpg
472,"The Pfizer COVID-19 vaccine is ""99% graphene oxide,"" which is ""toxic to the human body and causes a number of problems.",0,Pg 51__20_453f8b35b0cade85cdd07df85e46b892.jpg
473,"""We are last in the nation in startups ¡ª 50th.""",1,Pg 14__14_03ba085e5a0b07a869580ae835982d68.JPG
474,"Says officials in Washington, D.C., are ¡°jamming all communications.¡±",0,Pg 86__19_62fab983d5e8d961109164fb6b8a994d.jpg
475,"""The one good thing about the antibodies if you¡¯ve had it, is it actually is even better than the vaccine, and here's why. With the vaccine you can still transmit, with the antibodies you can't transmit.¡±",0,Pg 54__15_8040768d067953e9c66dfb2710e5191e.jpeg
476,"There have been ¡°1,598 athlete cardiac arrests since Jan 2021. 69% fatal.""",0,Pg 6__7_e6f06d4e5a98a85a39f9ef6dc4acffd3.jpeg
477,West Virginia is poised to ¡°receive $25M for 160 orphaned well clean-up projects across the state.¡±,1,Pg 1__11_52bc7499a2f5b025e64ddabdea93e292.jpg
478,¡°Sunlight actually can kill the (novel coronavirus.)¡±,0,Pg 92__20_9536a04ba051fc27534a9c9b36494999.jpg
479,"If you ask Amazon¡¯s Alexa about the origin of the coronavirus pandemic, it says ¡°the government planned¡± it.",0,Pg 90__13_40c1517d7c22e1a812f290377024e85e.jpg
480,Says Mandela Barnes "supports stripping health care away from millions.",0,Pg 15__28_2aae23b6f89d41bb2387c155fb4e9935.jpg
481,Rep. Ilhan Omar "voted yes" to "provide further funding for the 9/11 First Responders Victims Fund" while Sen. Rand Paul "voted no.",1,Pg 9__14_38c0804dfd371682f607e7ec85dc1eaf.jpg
482,These guys are now pretty much living up to the @BruceRauner standard. And falling dismally short of the @MittRomney standard. Even Romney released his full tax returns.,1,Pg 15__9_1bf8bedaeaf955179a1bf4ade840b154.jpg
483,"Says Ted Strickland ""in this campaign bragged about his A-plus rating with the NRA. ... He has said he has a mixed and spotty record on this issue and that he can be criticized for it. Those are his words, not mine. So I don¡¯t know where he is on this issue.""",1,Pg 19__22_f25e1750d3f410326488ba9ad43b150d.jpg
484,An obscure filing with the Federal Election Commission shows Biden has formally announced his bid for another term.,0,Pg 16__6_7e36f1a843f84a9d2bbc8ca8165c926f.jpg
485,"¡°While voters were distracted, (Gov. J.B.) Pritzker gave huge pay raises to his politician buddies.¡±",0,Pg 83__20_4549d0da29c8692523a66d25ba9f5945.jpg
486,¡°Four kids who took the coronavirus vaccine died immediately.¡±,0,Pg 83__24_fe8ac1bc9e294da19c14ec3d66dea4b5.jpg
487,A video shows Nancy Pelosi unveiling a portrait of former U.S. Energy Department employee.,0,Pg 6__21_210b62015a716651e33e4f2b71cc9368.jpeg
488,"West Virginia has ""the nation¡¯s lowest workforce participation rate, which hovers around 50 percent, when the national average is about 63 percent.""",1,Pg 11__12_b3f31b466929c88e11b89ed47e282769.jpg
489,¡°Biden orders dishonorable discharge for 46% of troops who refuse vaccine.¡±,0,Pg 45__2_cb70c8c45cbd601c14764ede3828f3c0.jpg
490,"Because of U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade.""",1,Pg 2__1_9f19ba817c4125be46189a3c9d0870d0.jpg
491,Overturning Roe v. Wade was an ¡°unconstitutional action by¡± the Supreme Court.,0,Pg 18__7_df476a3b76ff28843db7077da8a80c14.jpg
492,Says Rep. Elissa Slotkin ¡°voted against condemning cyber attacks by the Chinese Communist Party on American organizations developing COVID-19 treatments.¡±,0,Pg 78__28_2d4193025ebb290e63496d7397b87b35.jpg
493,"""More college graduates are living at home than in decades.""",1,Pg 18__22_72644151d8317cc6776e01697676762c.jpg
494,¡°If you or your family spends $28 a day ¡ª prepare to be under constant audit by the IRS.¡±,0,Pg 41__3_9f83294322ffe037a53137f0fd7d5012.jpg
495,Says it was "a crime for Nixon to wiretap the Democrats at Watergate but OK for Obama to wiretap Republicans at Trump Tower.¡±,0,Pg 87__15_916f8dbc921d22f76b441111162af9cb.jpg
496,¡°Nancy Pelosi¡¯s Brother¡¯s Company Received $737 Million from Obama¡¯s Energy Dept!¡±,0,Pg 94__29_334972668db0a5d3567ef0b4565e60a5.jpg
497,"¡°On February 7, the WHO warned about the limited stock of PPE. That same day, the Trump administration announced it was sending 18 tons of masks, gowns and respirators to China.¡±",1,Pg 7__6_db09f3f8ea286002f022293a4bf31824.jpg
498,"¡°Electronic voting machines didn't allow people to vote¡± in Maricopa County, Arizona.",0,Pg 9__13_a726b30d441f9b5d52caf23421f4a85d.jpg
499,The percentage of Americans with natural immunity from getting COVID-19 is ¡°a very powerful vaccine in itself.¡±,0,Pg 66__13_0fd86797f3e6db97d4a2be08a379adf8.jpg
500,Saudi Arabia is "the only Muslim country out of 47 Muslim-majority countries" where women cannot get licenses to drive.,1,Pg 33__15_30ba7bb962cf8da55fe392b628370592.JPG
501,"""Crime is escalating to a level we haven¡¯t seen in decades as a direct result of Democrats¡¯ defund the police movement and Biden-Harris open-border policies.""",0,Pg 51__7_ed05cc49e156c5766ea10d0ea1baf88e.jpg
502,"In North Carolina, ¡°you can be charged with a class H felony for wearing a mask and concealed carrying.¡±",0,Pg 84__2_ed8aa7c23e1591a901483d96f488fe7d.jpg
503,"""If you take into account all the people who are struggling for work, or have just stopped looking, the real unemployment rate is over 15 percent.""",1,Pg 56__9_0e24909d2d4cfeb623d84d0086cb1aec.jpg
504,Says first eight chosen to draw Austin City Council districts are seven Democratic primary voters and one Republican primary voter.,1,Pg 42__29_72597964be60d6f32792f45f070e63d9.jpg
505,The officers who beat Tyre Nichols targeted him because he was ¡°allegedly dating¡± one of their wives.,0,Pg 3__30_0fbefe724ab705672c4bd710b9a32124.jpg
506,"""In New York State, Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants.""",1,Pg 10__22_3adff3245ae18e5484ee7666e1da83e2.jpg
507,"Says President Barack Obama ""will not utter the words ¡®radical Islamic terrorism¡¯ and as matter of policy, nobody in the administration will say the words ¡®radical Islamic terrorism.¡¯""",1,Pg 26__9_02b9cc98e7a81308f7b23220e33b0c39.JPG
508,"Says with his guilty impeachment vote, Senator Mitt Romney ¡°could be removed from office.¡±",0,Pg 96__14_bdae79592d8e0e053ef555eb238f2f77.jpg
509,¡°Congress has one job here: to count electoral votes that have in fact been cast by any state.¡±,1,Pg 4__27_4922362025b87ec36b046376d0eccac2.jpg
510,"""Cantor's campaign spent more at steakhouses than Brat spent on his entire campaign.""",1,Pg 35__16_cb3505c421b7fb5cb4eae2f52cfe4dd9.jpg
511,"¡°Johns Hopkins University confirms: You can be vaccinated with a PCR test, even without knowing¡±",0,Pg 33__26_783bf6c799ab1b16887c6bbe9a32a1a0.jpg
512,"A post comparing two construction workers ¡ª ¡°Joe legal¡± and ¡°Jose illegal¡± ¡ª says ¡°Jose¡± pays no taxes yet gets free medical care, food stamps, welfare, and 'head of the class' priority for his children in applying for college.",0,Pg 93__13_2ceccdfe89299cf8d0d942a80f1106ea.jpg
513,The GOP-controlled Legislature has "refused to act on at least 150" appointees of Gov. Tony Evers.,1,Pg 3__2_08482ddc3f18ade8b103e37c787f2e04.JPG
514,"""Marco Rubio spent $400K of your tax dollars remodeling offices, and building a members-only lounge.""",1,Pg 26__17_359a996864968e68110b6d112c75da59.jpg
515,"""While introducing Donald Trump, former New York City Mayor Rudy Giuliani omitted the September 11, 2001, strikes as a ¡®successful¡¯ terrorist attack during the eight years before President Obama¡¯s 2008 election.""",1,Pg 21__17_d981b47f942cceb5e268d3393fc0896a.jpg
516,¡°Trump cut Social Security benefits by over $3 billion.¡±,0,Pg 38__14_6648039cf077af0883772f031ccacbfe.jpg
517,"""Bill Gates talked about using vaccines to control population growth¡± in an ¡°unedited 2010 TED Talk video""",0,Pg 44__17_640fd593593605ae7dfcb6520416c70d.jpg
518,"¡°According to its website Black Lives Matter, Inc is NOT a charity. It is a full-fledged corporation that does NOT have any locations.¡±",0,Pg 85__5_35e79b66f6b5b002d2d2abf8fcf3b499.jpg
519,"""More Americans have died from guns in the United States since 1968 than on battlefields of all the wars in American history.""",1,Pg 27__19_40f00ecc7ac0f31b13e93556766e5229.jpg
520,Says Joe Biden and Kamala Harris support abortion ¡°up to the moment of birth.¡±,0,Pg 73__23_95bc50491057e8ea1b20e192ba514bca.jpg
521,"""Currently, 23 percent of our military's infrastructure is graded as 'poor' while 9 percent is 'failing.'""",1,Pg 10__21_d908ea96b6c578b3ae5b6d156471ef69.jpg
522,The Federal Reserve ¡°has suspended the availability of new currency.¡±,0,Pg 7__2_735c6dd000e5b1b69ac5d1d72c7b70bb.jpg
523,"""Bernie (Sanders) is a communist.""",0,Pg 94__8_28b5441dbc3cb5f29705881ec0be0ce0.jpg
524,¡°Overdoses reached an all-time high in 2021.¡±,1,Pg 1__17_a5154ac9cd41685fe79cd64790793d48.jpg
525,¡°Every single Republican blocked Ketanji Brown Jackson¡¯s SCOTUS appointment.¡±,0,Pg 5__24_cc9e31aa64e2e42c3a5fa70e405c1b43.jpg
526,"""We¡¯ve got 115,000 miles of roads in this state and 90% is owned by the locals.¡±",1,Pg 3__7_7e67abe489a3abecb40f6921feef7940.jpg
527,¡°WHO now says your child¡¯s presence in school counts as ¡®informed consent¡¯ for vaccination - parental presence not required.¡±,0,Pg 72__16_77c9037eafffe1fe5ebdd162ed897d94.jpg
528,¡°I used to drive a tractor trailer ¡­ I only did it for part of a summer.¡±,0,Pg 40__5_1b18e17eec838929e22844dbc7c36200.jpg
529,Says celebrities are calling for a "'total Hollywood strike' until Trump resigns.",0,Pg 91__15_4609067a34f2c8322a581c71ed0e1731.jpg
530,Americans "say that what they want is a choice" to join a single-payer system like Medicare rather than ending private insurance.,1,Pg 8__22_9eb1e269aea5d21843c4f5c04ea7c11f.jpg
531,Georgia ranks No. 9 in the rate of women murdered by men.,1,Pg 32__22_8fd855a7aa93e390162775f2be1b4600.jpg
532,¡°You didn't see Republicans when we had control of the Senate try to rig the game.¡±,0,Pg 57__17_be16be2caea8da5dd5650e12581e0907.jpg
533,The president's own FBI director said that the greatest domestic terrorist threat is white supremacists.,1,Pg 5__16_6e9f6ca8d8e3fd91d81eeb81ce8a7432.jpg
534,The COVID-19 vaccine ¡°went out for distribution¡± in Nebraska ¡°days before the FDA even said they were going to approve it.¡±,0,Pg 63__6_15a82679e0fddeea29141caf5a6035e6.jpeg
535,"With voting by mail, ¡°you get thousands and thousands of people sitting in somebody's living room, signing ballots all over the place.¡±",0,Pg 91__4_23fa6f3548963956d3d53dab88a2dc4f.jpg
536,"¡°Humans are not causing climate change.¡± Magnetic pole shifting ¡°is causing havoc worldwide in weather, climate, earthquakes, tsunamis, etc.¡±",0,Pg 3__2_609c26fddf9d163552530f58dc98ff00.jpg
537,U.S. is ¡°really not doing (COVID-19) reporting right¡± because deaths are being improperly counted and hospitals have an ¡°incentive¡± to pad stats.,0,Pg 71__14_aacfa90c40770516aa0d6ddeadcbf42e.JPG
538,Uber and other ride-share firms are not required to carry auto insurance under Georgia law.,1,Pg 30__15_a5807c9b39d836f537db94e85650b7c0.jpg
539,"""The latest with the Durham report is that the Clinton campaign ¡­ actually spied on the president of the United States.¡±",0,Pg 33__14_0667ff217f0322323e7247c9f6238542.jpg
540,Says Joe Biden has driven the current coronavirus surge because he ¡°imported more virus from around the world by having a wide open southern border.¡±,0,Pg 48__17_9969beeca6ff0ef9a439246c21437b34.jpg
541,Sen. Ron Johnson has been ¡°rewarding companies that outsource to China.¡±,0,Pg 32__18_66bd5bc1106c63e2c263ccb0158b80e6.jpg
542,The second presidential impeachment of Donald Trump was ¡°the most bipartisan impeachment in American history.¡±,1,Pg 4__22_a9b5277b4be96cc74351b49472c27b2f.jpg
543,¡°U.S. Census Bureau confirms huge conflict in total number of voters in 2020 election.¡±,0,Pg 56__2_cea1845f38520d9225502baaa11c1bf9.jpg
544,"""Amy, I looked online at your (health care) plan. It¡¯s two paragraphs.""",0,Pg 95__21_c1d69662852e2fd582669ca146c1067f.jpg
545,Says Kelly Loeffler supports "raising taxes on Georgia's middle class.",0,Pg 66__11_f16a4200dfaf45b87187daa9b423d00e.jpg
546,"""This idea that it's the pandemic of the unvaccinated, it's just a total lie.""",0,Pg 42__10_18803af683c201ae84a90fb6968c567b.jpg
547,"""Doctors say colon cancer is on the rise due to toxins absorbed while cooking food (in) the microwave.¡±",0,Pg 4__2_d92e643ac5d68de8b3a6155310630098.jpg
548,Says Fran DeWine¡¯s made-from-scratch dinner rolls are a delicious favorite in a traditional Thanksgiving dinner.,1,Pg 47__12_0a90f65322c3042787573282cda8550c.jpg
549,"Says the U.S. House¡¯s COVID-19 relief bill, advanced by Democrats, ¡°strips states of their right to administer elections.¡±",0,Pg 73__21_2d1aa26a044dc140dfa33c7af26b4b68.jpg
550,Homemade baby formula recipes offer a ¡®viable option¡¯ during U.S. shortage,0,Pg 25__11_0f0a45b71b26f9f32066f410beede826.jpg
551,"¡°500 National Guardsmen being called to Kenosha ahead of the Rittenhouse verdict. Had they done this in the first place, there wouldn¡¯t have been a trial.¡±",0,Pg 41__16_8ac68b8d4384a8a2d726b66c62153c59.jpg
552,CDC "will revoke the emergency use authorization" of the PCR COVID tests because those tests don't differentiate between COVID and flu viruses. "Translation: They've been adding flu cases to Covid cases when using that test.¡±,0,Pg 49__4_49312da31abd681ae56b4d156eff848f.jpg
553,The murder rate in Atlanta is on the rise this year.,1,Pg 28__8_bd88c0fff98f75dae08c8e766996dadc.jpg
554,Says she hasn¡¯t taken corporate PAC money ¡°since 2016.¡±,0,Pg 97__1_9e421f4168e3ee7269984665f0c7050d.jpg
555,¡°Toxicology report was made public by the MN prosecution revealing the cause of George Floyd¡¯s death was a fentanyl overdose.¡±,0,Pg 59__16_78eac10dec8571c08cd40dd34f9c1364.jpg
556,"""@BernieSanders receives strong support from the conservative & most rural part of Vermont.""",1,Pg 7__17_c68508b11455e980167660d719dd4d29.jpg
557,"""This year West Virginia produced more AmeriCorps members than any other state.""",1,Pg 12__30_d8ea7fad42f556afbc0588ae30661baf.jpg
558,Mehmet Oz ¡°was a spokesman for a group who wanted to defund the police.¡±,0,Pg 26__27_3a0a3ff20a662e503945a57ccb5f9ae1.jpg
559,I spent only $36.29 on my campaign for governor.,1,Pg 32__27_c9133e32314732e56f3a279a6409fa54.jpg
560,"""Since I took office, over 319,000 new private sector jobs have been created in Georgia with nearly 93,000 of those coming in the past 12 months.""",1,Pg 31__8_ef0ec3ba710073990a7f0b380517b176.jpg
561,"""California is 49th out of 50 in the United States in per capita housing units. Only Utah can lay claim to being lowest in per capita production.""",1,Pg 14__8_34cf471ad2678e9384691ae54f8d94ce.jpg
562,"The Trump administration worked to free 5,000 Taliban prisoners.",1,Pg 3__4_684e34ce2214255f273f9c4bd42e3a92.jpg
563,President Barack Obama "had the legal authority" to strike Syria without a vote from Congress.,1,Pg 40__30_83f60b78b62b3e102ca02e5647799a0a.jpg
564,Says longstanding Food and Drug Administration regulations ¡°created barriers to the private industry creating a test quickly¡± for the coronavirus.,1,Pg 7__8_2e26cc15df0e522489021df75b0147ef.jpg
565,"""I proudly voted for Hillary Clinton.""",0,Pg 74__26_0981aa25bcf0a2bdcced9126d1d94407.jpg
566,"""Latina workers make 54 cents for every dollar earned by white, non-Hispanic men.""",1,Pg 1__6_4d9adfb2cb902bd06781a386b461ccef.jpg
567,"""It is rare that a retirement grade determination is conducted for an officer previously retired from the U.S. armed forces.""",1,Pg 25__14_7c98dd0afc2d36bc5c1ed8ccdb1cfbb7.jpg
568,Says he ¡°is the only candidate in the Wisconsin Attorney General race with experience as a prosecutor.¡±,0,Pg 46__2_4b9420cf3f0c4a86aaace130312664d7.jpg
569,"""Countries bombed: Obama 7, Bush 4""",1,Pg 33__21_6b08073d2f3e32600b4c99ffd8796d7c.jpg
570,Says Dan Forest has ¡°missed almost half of the Board of Education meetings during the pandemic.",1,Pg 5__9_b3ce5c2845eb9735ffa7f9b358e09121.jpg
571,"¡°Donald Trump authorized up to 20,000 National Guard troops to protect the Capitol"" before Jan. 6, 2021, but was ""rejected"" by Nancy Pelosi and Chuck Schumer.",0,Pg 22__14_47c69c58fbc4eb29079c1d93b21faa61.jpg
572,"""I was the only member of the Senate ¨C Republican or Democrat ¨C who has consistently voted against efforts to use the so called ¡®nuclear option¡¯ to change the rules of the Senate.""",1,Pg 10__16_cfafd25facff6c7781b55adaab6ca80b.jpg
573,"""You are more likely, as a child, to end up in the hospital because of the vaccine than you are because of COVID. That's data from the CDC and from VAERS.""",0,Pg 44__22_3578a5cbe9cf5a123e781111cf0276bd.jpg
574,¡°OSHA says masks don't work¡± to reduce COVID-19 transmission ¡°and violate OSHA oxygen levels.¡±,0,Pg 84__8_c3139798b9f462890be05d854b5265a1.jpg
575,"¡°Countless Southwest Airlines employees have walked out of their jobs to oppose the vaccine mandate, causing operations to effectively shut down.¡±",0,Pg 44__16_b0ac648a665ac81679b19a8e1ec788d5.jpg
576,"Says most of Austin¡¯s biggest parks have recycling though as ""many as 293 out of 300"" Austin city ""parks have no recycling, including almost every neighborhood park.""",1,Pg 13__21_17f568d59da62b159b4f39bc137d7413.jpg
577,"Says since he took office, the City of Milwaukee has seen the creation of 7,000 new affordable housing units.",1,Pg 7__20_3d45ee99a3a8b5649e2cb761ef55a6f6.jpg
578,"""Here are the facts: there is no massive wave of migrants pouring into California. Overall immigrant apprehensions on the border last year were as low as they¡¯ve been in nearly 50 years (and 85 percent of the apprehensions occurred outside of California).""",1,Pg 14__4_3eedd0f47da335fae05bcc7fbf18e97e.jpg
579,"""There are hit squads being trained all over this country¡± to violently oppose a second term for President Donald Trump.",0,Pg 76__16_a53d45ff74252a49a0cd294bd66df774.jpg
580,"""Maricopa County official purged machine records before audit started.""",0,Pg 45__12_a1ec4a9750d7a9eefa20484f566e96f6.jpg
581,¡°In the last 10 years less than half of adults in the U.S. received a flu shot.¡±,1,Pg 5__18_14ba8a049581afc962e2736e40bdcebf.jpg
582,Joe Biden closed schools during the COVID-19 pandemic.,0,Pg 3__17_a3d3d720c91af7c86f33e9a085d5ebec.jpg
583,Georgia¡¯s new voting law ¡°makes it a JAIL-TIME CRIME to drop off grandma¡¯s absentee ballot in a dropbox.¡±,0,Pg 59__12_bae9c9267b010de1fdd252b09d3941eb.jpg
584,"""Supreme Court 15 times over the last 120 years has said marriage is a fundamental right"" and never said ""it had to be between a man and a woman.""",1,Pg 31__21_7ccfca1dcb55457ce42ef284674ee243.jpg
585,Police officer is ¡°the occupation with the highest suicide rate of any profession.¡±,0,Pg 84__12_16e476945e908c5ac7f385c963c5d13a.jpg
586,"In manufacturing, ""I brought back 700,000 jobs. (Obama and Biden) brought back nothing.""",0,Pg 74__19_26476bd57ef8422e6c8b9a5bb14eda36.jpg
587,Suggests ivermectin is an effective treatment for COVID-19,0,Pg 28__11_91ba8540c9dcc6627e0065da30547e3e.jpg
588,There are ¡°22 million illegal aliens living in America and ... voting illegally.¡±,0,Pg 49__14_44ddfca74e41022320c55a377f5131e4.jpg
589,"¡°You¡¯ve raised a lot more money than I have, Bernie.¡±",1,Pg 7__15_37bf4b3cde80bf09529c661e8f4d3974.jpg
590,"""Black lung cases are at a 25-year high.""",1,Pg 12__12_a1218d509108dc5bd60eee84f92646b4.jpg
591,¡°Everyone is only dying of coronavirus now.¡±,0,Pg 90__26_ab385327b615c3b167cf784e5059f0e6.jpg
592,"During the past four years, ""average wages have barely budged.""",1,Pg 38__10_da4cbb54b38c1473ba4dbc0353e90ec7.jpg
593,"""60 percent of all Americans do not want to see Planned Parenthood defunded.""",1,Pg 26__25_6bce2b9de08811074d23834781c6622e.JPG
594,¡°The Democrats don¡¯t want to do anything having to do with protecting people from eviction.¡±,0,Pg 80__2_aeee3f08b13426332fa967c5e9821eca.jpg
595,Amber Heard plagiarized lines from the movie ¡°The Talented Mr. Ripley¡± in her opening statement during the Johnny Depp libel trial.,0,Pg 25__28_89fff6afd2c14d894178ab6253a8ab1c.jpg
596,¡°Muslims by the millions are converting to Christianity.¡±,0,Pg 1__14_1ed8596754f998fb0d584f2106f00ec2.jpeg
597,"""You weren't allowed to own a cannon during the Revolutionary War as an individual.""",0,Pg 83__29_56e6bf5ec0d710416fbfb52ba0e468ea.jpg
